name,rating,metascore,runtime,budget,gross
Allied,7.1,60,124,85000000,109090476
Arrival,8,81,116,47000000,174801381
Deadpool,8.1,65,108,58000000,782612155
Doctor Strange,7.7,72,115,165000000,656981341
Fantastic Beasts and Where to Find Them,7.5,66,133,180000000,721605251
Fences,7.4,79,139,24000000,63123087
Hacksaw Ridge,8.2,71,139,40000000,163332647
Hidden Figures,7.9,74,127,25000000,206428776
La La Land,8.4,93,128,30000000,37433427
Lion,8.1,69,118,12000000,32132825
Manchester by the Sea,8,96,137,9000000,41055868
Moana,7.7,81,107,150000000,581110883
Moonlight,7.6,99,111,1500000,26988902
Nocturnal Animals,7.6,67,116,22500000,22059980
Passengers,7,41,116,110000000,270657489
Sausage Party,6.3,66,89,19000000,36200000
Sing,7.2,59,108,75000000,431899145
Split,7.5,62,117,9000000,248145749
Trolls,6.5,56,92,125000000,329482205
X-Men: Apocalypse,7.1,52,144,178000000,281493524
